type,element_id,metadata,text
Title,71abe9dd094d2e4ee1a24ba1403a7242,"{'filename': 'combined_sentences_p1_output.txt', 'filetype': 'text/plain', 'languages': ['eng']}",Foundational Requirement
Title,fd68b256d295d861965b4c5a5a84a424,"{'filename': 'combined_sentences_p1_output.txt', 'filetype': 'text/plain', 'languages': ['eng']}",Course/Program Planning
Title,85ece42b1738c9dbe84400960e361309,"{'filename': 'combined_sentences_p1_output.txt', 'filetype': 'text/plain', 'languages': ['eng']}",Grades/GPA Requirement
Title,f668987270c1622fd687e8a42baf2b8c,"{'filename': 'combined_sentences_p1_output.txt', 'filetype': 'text/plain', 'languages': ['eng']}",Registration-Related Information
Title,9932a7b00f9d21129bf34f9ae9613b2a,"{'filename': 'combined_sentences_p1_output.txt', 'filetype': 'text/plain', 'languages': ['eng']}",Payments & Financial Information
Title,02c8c3f4e9079a80ac657d1cfd2b2e4a,"{'filename': 'combined_sentences_p1_output.txt', 'filetype': 'text/plain', 'languages': ['eng']}",Taking Time Off
Title,9efe2b4d3d004cb3c7a2f8c3b80a21a6,"{'filename': 'combined_sentences_p1_output.txt', 'filetype': 'text/plain', 'languages': ['eng']}",Graduation
Title,05ed8f92161693cfe7a93311a4490c48,"{'filename': 'combined_sentences_p1_output.txt', 'filetype': 'text/plain', 'languages': ['eng']}",SECTION L.  GEORGIA TECH DIRECTORY INFORMATION
UncategorizedText,5301736d002395532fe8214bd9d7107e,"{'filename': 'combined_sentences_p1_output.txt', 'filetype': 'text/plain', 'languages': ['eng']}",SECTION M.  GET CONNECTED!
Title,1993143b4fe26d76d8d13aef7c7b4a2d,"{'filename': 'combined_sentences_p1_output.txt', 'filetype': 'text/plain', 'languages': ['eng']}",SECTION N.  OMSCS ADVISING CONTACT INFORMATION
NarrativeText,fa47d600d89f84525001de8f0e5bbaf5,"{'filename': 'combined_sentences_p1_output.txt', 'filetype': 'text/plain', 'languages': ['eng']}",Click here to return to Table of Contents
