type,element_id,text,metadata.filename,metadata.filetype,metadata.languages,metadata.page_number
NarrativeText,5be90c603d3420fbe4bb3ad60e08390d,"o 10 clarify further, you do not need to fulfill the foundational requirement with the first two courses you attempt/enroll in as part of the OMSCS program — you simply need to fulfill the requirement within the one-year time frame (again, as long as you abide by the Institute’s guidelines for academic standing).",spring_2023_orientation_document.pdf,application/pdf,"['eng', 'kor']",3
NarrativeText,588c4cbd8a3b3150baa4da6dbe8370f5,"If at any point during the first three consecutive terms after you matriculate you withdraw from a foundational course, that term still counts as part of your one-year time frame to complete this requirement.",spring_2023_orientation_document.pdf,application/pdf,"['eng', 'kor']",3
NarrativeText,3c7b18705c465ec77f98e09896f6c34d,"For new Spring 2023 students who matriculate this semester, you will be restricted to enrolling only in foundational courses until you have satisfied the foundational course requirement.",spring_2023_orientation_document.pdf,application/pdf,"['eng', 'kor']",3
Title,ad7b525c034c96dc20565a18fd60edfe,SECTION C. DEGREE REQUIREMENTS,spring_2023_orientation_document.pdf,application/pdf,"['eng', 'kor']",3
NarrativeText,3bd7324b87fd0cd29dde5372a8b4168d,Please take time to view the current MSCS degree requirements here. The OMSCS program has the same DEGREE REQUIREMENTS as the on-campus MSCS program but offers fewer areas of specialization and fewer courses.,spring_2023_orientation_document.pdf,application/pdf,"['eng', 'kor']",3
Title,0bcb375e6d63773f7ed8ca8e22307c9c,은 은 =,spring_2023_orientation_document.pdf,application/pdf,"['eng', 'kor']",3
Title,1853dd1ef36663113fcc4a1de2358b2d,©® N O,spring_2023_orientation_document.pdf,application/pdf,"['eng', 'kor']",3
UncategorizedText,e3b7e7a038be142c2a042fc1f7374d00,10.,spring_2023_orientation_document.pdf,application/pdf,"['eng', 'kor']",3
UncategorizedText,c977dbe785221d34114d345fdf8ff4e1,1.,spring_2023_orientation_document.pdf,application/pdf,"['eng', 'kor']",3
UncategorizedText,25602777cecc667d222cfeb509c62be1,12.,spring_2023_orientation_document.pdf,application/pdf,"['eng', 'kor']",3
NarrativeText,3276a091ef7bd911c0664a48b055da11,"Students must complete 30 credit hours (10 total courses) for the degree. Students must declare one specialization. 15-18 hours comprise the “Area of Specialization”. The remaining 12-15 hours comprise “free” electives. The electives are any OMSCS course not used in the “Area of Specialization”. Please note #8 below regarding the limit of 4000-level and/or non-CS/CSE courses. OMSCS students should expect to complete the “Course” option. Students must earn at least a “B” in all courses in their chosen “Area 이 Specialization”. Students must earn at least a “C” in all courses counting toward their “free” elective requirement. Students must have a minimum overall GPA of 3.0 to graduate. A maximum of six hours may be taken at the 4000-level and/or with a subject code other than CS or CSE. Students must complete the degree in six years as per the Institute’s policy. Therefore, if you matriculate during the Spring 2023 term, you must fulfill the degree requirements by the end of the Fall 2028 term. If you previously completed courses at Georgia Tech, specifically undergraduate/graduate Computer Science (CS) or other CS-related undergraduate/graduate courses, you will be responsible for researching whether or not the course(s) are considered to 66 “equivalent” to OMSCS courses, 35 these credits cannot count toward your OMSCS degree program. Please visit our website, and please refer to SECTION K. FREQUENTLY ASKED QUESTIONS (FAQs) for more information.",spring_2023_orientation_document.pdf,application/pdf,"['eng', 'kor']",3
NarrativeText,a239ecc288fb97e12fe573b0be25a360,Additional program information can be found online. The following “Areas of Specialization” are available through the OMSCS program:,spring_2023_orientation_document.pdf,application/pdf,"['eng', 'kor']",3
Title,c4dd924c97a043a593a91a784d0ce212,o Computational Perception and Robotics,spring_2023_orientation_document.pdf,application/pdf,"['eng', 'kor']",3
ListItem,1fcc89b7eb1a49b801c19f74c7e3a9de,Computing Systems,spring_2023_orientation_document.pdf,application/pdf,"['eng', 'kor']",3
ListItem,b9b6c3d2aac48fde954d42c6ebfcf22c,|nteractive Intelligence,spring_2023_orientation_document.pdf,application/pdf,"['eng', 'kor']",3
ListItem,9316cd4d881e21d7494cada328686b37,Machine Learning,spring_2023_orientation_document.pdf,application/pdf,"['eng', 'kor']",3
NarrativeText,fa47d600d89f84525001de8f0e5bbaf5,Click here to return to Table of Contents,spring_2023_orientation_document.pdf,application/pdf,"['eng', 'kor']",3
Title,6422a5199064491ebd388d106618ed32,SECTION D. REGISTRATION TIME TICKETS,spring_2023_orientation_document.pdf,application/pdf,"['eng', 'kor']",4
NarrativeText,74da999ee7e0b1d10fc3b4e542d70207,Your time ticket will tell you the specific date and time you are allowed to begin registering for classes.,spring_2023_orientation_document.pdf,application/pdf,"['eng', 'kor']",4
NarrativeText,986199a2df4b8881c7f756728437b8ed,You will be able to view your time ticket on January 4 at 6:00pm ET.,spring_2023_orientation_document.pdf,application/pdf,"['eng', 'kor']",4
NarrativeText,fe1e1cba257233b4c51d3b70979ee018,"To check your time ticket in OSCAR, follow these directions:",spring_2023_orientation_document.pdf,application/pdf,"['eng', 'kor']",4
Title,1efd482b5d3b279c88de1a85bda4c48b,인 훈 희 5 근,spring_2023_orientation_document.pdf,application/pdf,"['eng', 'kor']",4
NarrativeText,17d893fba46cc0970a5129b2c517449f,Log into OSCAR using your GT credentials via the Secured Access Login.,spring_2023_orientation_document.pdf,application/pdf,"['eng', 'kor']",4
Title,6ea71b464800fb7e9c2963de70aa8822,Choose Student Services & Financial Aid.,spring_2023_orientation_document.pdf,application/pdf,"['eng', 'kor']",4
Title,99f2d030042e81f17167ef49894b5b54,"Click Registration, then Registration Status.",spring_2023_orientation_document.pdf,application/pdf,"['eng', 'kor']",4
Title,497c3c7732d7452cee5d6398e30e0a0a,Click Spring 2023 for Term and hit SUBMIT.,spring_2023_orientation_document.pdf,application/pdf,"['eng', 'kor']",4
NarrativeText,c674567a2ca51999b7a14f775f2a012f,"This page will display a time at which your Registration Time Ticket will begin. Also, if you have any holds or outstanding issues, they will appear here.",spring_2023_orientation_document.pdf,application/pdf,"['eng', 'kor']",4
NarrativeText,b1282f8a1c61c798278f882ed6065df0,Please note that time tickets are issued by the Registrar’s Office and are assigned based on earned hours.,spring_2023_orientation_document.pdf,application/pdf,"['eng', 'kor']",4
NarrativeText,50a142997e1993155c9699c825d1295a,"Also, please keep in mind that graduate students typically are the last student population to register, as undergraduate students and students who are part of a group that gets priority registration (Presidential Fellows, Office of Disability Services, members 이 the Reserve Officers Training Corps (ROTC), military veterans currently utilizing G.1. Bill benefits, etc.) register before graduate students. Therefore, it is not uncommon for OMSCS students’ time tickets to begin several days after the registration period opens.",spring_2023_orientation_document.pdf,application/pdf,"['eng', 'kor']",4
Title,233beab00e4b4d2ee16158635b018830,SECTION E. REGISTRATION HOLDS,spring_2023_orientation_document.pdf,application/pdf,"['eng', 'kor']",4
UncategorizedText,c977dbe785221d34114d345fdf8ff4e1,1.,spring_2023_orientation_document.pdf,application/pdf,"['eng', 'kor']",4
NarrativeText,42d48751dfe061e73e7e101a06b8b8a0,"Once your account is activated, you must check to see if you have any holds that might prevent registration. Instructions on how to view holds are available online.",spring_2023_orientation_document.pdf,application/pdf,"['eng', 'kor']",4
NarrativeText,3a514330741c12a61af4742a26c48084,"If you have a hold on your account, you MUST clear it before you can register for classes. You must contact the department who placed the hold, as the department who placed the hold is the only department who can remove the hold.",spring_2023_orientation_document.pdf,application/pdf,"['eng', 'kor']",4
UncategorizedText,81f22d1f5e49ab51252736e5f2a7df7d,If you have a Graduate Admissions HOLD: The Office of Graduate Education is missing documentation,spring_2023_orientation_document.pdf,application/pdf,"['eng', 'kor']",4
NarrativeText,352a328989ff82ac0fcb82a08cf692c2,"(probably your final official transcript). If you have any questions regarding these documents, please contact",spring_2023_orientation_document.pdf,application/pdf,"['eng', 'kor']",4
NarrativeText,4240a3c8a3037ba6cf2c381585b28830,the Office of Graduate Education by visiting their website or calling 404.894.1610.,spring_2023_orientation_document.pdf,application/pdf,"['eng', 'kor']",4
NarrativeText,45d9c43ef0afb7aac05fe8cf699afffc,"> 10 mail your documents to the Office of Graduate Education, 566 SECTION K. FREQUENTLY ASKED QUESTIONS (FAQs) for their mailing address. If your institution releases official transcripts electronically, please 5600 them to transcripts@arad.gatech.edu.",spring_2023_orientation_document.pdf,application/pdf,"['eng', 'kor']",4
NarrativeText,9850af176d867040b4a557428731703f,"> Please note: If you are a new student starting Spring 2023, you will NOT have 3 missing document hold placed on your account for transcripts until after registration has ended. However, you will want to ensure that you submit all required official transcripts/documents to avoid future holds.",spring_2023_orientation_document.pdf,application/pdf,"['eng', 'kor']",4
NarrativeText,ef341b2b170fd116ff7ea33bc9fa3e00,If you have a Lawful Presence HOLD: Only the documents listed here can be used to clear this hold. For,spring_2023_orientation_document.pdf,application/pdf,"['eng', 'kor']",4
NarrativeText,36ee67523b704c3581bf1c15cc30d3b9,"questions, please send an email 10 grad.ask@arad.gatech.edu.",spring_2023_orientation_document.pdf,application/pdf,"['eng', 'kor']",4
NarrativeText,c5f37054b43b7d040a8501edead7a52e,"If you have an Immunization HOLD: Send an email to immunizations@health.gatech.edu and request a Waiver Request Form. Once the waiver is submitted, it is valid for one year from the date it is signed. “Distance Learners” 00 not require proof 이 immunization but must complete the yearly waiver. If you have any questions regarding this requirement, please contact immunizations@health.gatech.edu or 404.894.1432.",spring_2023_orientation_document.pdf,application/pdf,"['eng', 'kor']",4
NarrativeText,336adf7ba23518dd0fba3228e3d7ffd9,"If you have a Financial Agreement HOLD: A Financial Agreement hold will be placed on all students’ accounts. This hold will prevent registration; however, you can clear the hold immediately in OSCAR and do not need to wait until your time ticket becomes active. On the Registration menu, select “Financial Responsibility Agreement”, read the agreement, enter your initials, and then click “Submit”. Successful completion of this task clears the hold from your account and will allow you to continue with registration. For questions, please contact the Bursar’s Office at omsbursar.ask@gatech.edu.",spring_2023_orientation_document.pdf,application/pdf,"['eng', 'kor']",4
NarrativeText,207addeca0622dfaa5abec9269becfd0,"If you have a Registrar Location HOLD: You should be able to clear this hold several days prior to your active time ticket in OSCAR. On the Registration menu, select “Term Study Location Identification”, select your location from the pull-down menu, and then click “Submit”. Successful completion of this task clears the hold from your account and will allow you to continue with registration.",spring_2023_orientation_document.pdf,application/pdf,"['eng', 'kor']",4
NarrativeText,fa47d600d89f84525001de8f0e5bbaf5,Click here to return to Table of Contents,spring_2023_orientation_document.pdf,application/pdf,"['eng', 'kor']",4
Title,42661a44a8b89cd92830a47a47ff19a7,SECTION F. REGISTER FOR CLASSES,spring_2023_orientation_document.pdf,application/pdf,"['eng', 'kor']",5
NarrativeText,b068f00b89a44d524aee605593160865,Remember that all times and deadlines are based on the Eastern time zone. Registration dates can be found on the Academic Calendar on the Registrar’s website. Registration begins on January 5 and ends on January 13 at 4:00pm ET.,spring_2023_orientation_document.pdf,application/pdf,"['eng', 'kor']",5
NarrativeText,9cbf9d4f3dd364dd1b9a363e4752eb6e,"Please check your time ticket to see the exact day and time you can begin registering. You will NOT be able to add/drop classes AETER 4:00pm ET on Friday, January 13.",spring_2023_orientation_document.pdf,application/pdf,"['eng', 'kor']",5
NarrativeText,88ce9aea6a92dd6dab8946b47a981fc4,To prepare for registration:,spring_2023_orientation_document.pdf,application/pdf,"['eng', 'kor']",5
UncategorizedText,c977dbe785221d34114d345fdf8ff4e1,1.,spring_2023_orientation_document.pdf,application/pdf,"['eng', 'kor']",5
NarrativeText,2c55f021df3b0f82fc945cd23e723ff3,"First, 66 sure your status is “Student” and NOT “Applicant”. You may not activate your GT account until that changes, and it will change about a week before registration begins. **Please do not contact our office prior to the week before registration regarding this, as advisors are unable to change statuses.™",spring_2023_orientation_document.pdf,application/pdf,"['eng', 'kor']",5
NarrativeText,63468af762e49db7e735e31bd961c19c,To check your status: e Loginto OSCAR using your GT credentials via the Secured Access Login. Select Student Services & Financial Aid. Select Registration. Select Registration Status. Select the Spring 2023 term. Click SUBMIT.,spring_2023_orientation_document.pdf,application/pdf,"['eng', 'kor']",5
NarrativeText,5962c8635f478b1cb08379f695ea8a51,Activate your GT email account here.,spring_2023_orientation_document.pdf,application/pdf,"['eng', 'kor']",5
NarrativeText,6a55ab6900afeeed510f1fbcec6533b5,"The Institute, as well as the department, will use this email address as your official contact. You are required to keep it active, and you are expected to read your email DAILY as per the Institute’s policy. This is true even if you are sitting out a semester.",spring_2023_orientation_document.pdf,application/pdf,"['eng', 'kor']",5
NarrativeText,0105a3ebc4c810fc1ffc92017d967dd3,"PLEASE NOTE: The Registrar’s Office is responsible for updating all admitted students’ access in our system, which will prompt OIT to create your GT email account closer to the start of the semester. Once this has been done, it is our understanding that you should receive 3 message from OIT to your personal email account about how to set up your GT email account. If you are having issues with activating your GT email account, please contact OIT for assistance. Unfortunately, TSO will not be able to assist with this.",spring_2023_orientation_document.pdf,application/pdf,"['eng', 'kor']",5
NarrativeText,f990bb3fda6b9aef80821a3e97748448,Two-factor authentication is required for all GT students. Please follow the directions online to set up Duo. Failing to set up Duo will result in being locked out of your account.,spring_2023_orientation_document.pdf,application/pdf,"['eng', 'kor']",5
NarrativeText,c803ec6da2b1c4bc47b413db60e47a0c,"The courses that are available for Spring 2023 can be found by performing a search in OSCAR. Most online courses will have a section 이 “O” (example: 001, 002, 003, etc.). Registration is first come, first served, so you will want to register as soon as your time ticket opens.",spring_2023_orientation_document.pdf,application/pdf,"['eng', 'kor']",5
NarrativeText,6eb00fd7139683eff52c16ee0614b864,"You can narrow your search in the Schedule 아 Classes by designating the Campus to “Online”. Please keep in mind that there are multiple course subjects offered in the OMSCS program; therefore, be sure to do a search on “CS” (Computer Science), “CSE” (Computational Science and Engineering), “ECE” (Electrical and Computer Engineering), “INTA” (International Affairs), “ISYE” (Industrial and Systems Engineering), “MGT” (Management), and “PUBP” (Public Policy) for a full listing 이 the online courses offered.",spring_2023_orientation_document.pdf,application/pdf,"['eng', 'kor']",5
NarrativeText,957d9d38ae2243bb449e102bc55818d4,"Some of these courses will be offered with the OMS Analytics or the OMS Cybersecurity programs, so please be mindful when selecting courses that you are choosing the section that is designated for OMSCS students. Some sections are restricted to OMS Analytics students and are designated with the “OAN” section. Other sections are restricted to OMS Cybersecurity students and are designated with the “OCY” section. If an OMS Analytics or OMS Cybersecurity course has a section created for OMSCS students, it will have a section of “O” followed by a two-digit number (example: 001, 002, 003, etc. ).",spring_2023_orientation_document.pdf,application/pdf,"['eng', 'kor']",5
NarrativeText,aa0db789b5e150313b6d5767d934f5b6,"***Please remember that per the program rules: ""A maximum of six hours may be taken at the 4000-level and/or with a subject code other than CS or CSE.™**",spring_2023_orientation_document.pdf,application/pdf,"['eng', 'kor']",5
NarrativeText,fa47d600d89f84525001de8f0e5bbaf5,Click here to return to Table of Contents,spring_2023_orientation_document.pdf,application/pdf,"['eng', 'kor']",5
UncategorizedText,e3b7e7a038be142c2a042fc1f7374d00,10.,spring_2023_orientation_document.pdf,application/pdf,"['eng', 'kor']",6
UncategorizedText,c977dbe785221d34114d345fdf8ff4e1,1.,spring_2023_orientation_document.pdf,application/pdf,"['eng', 'kor']",6
UncategorizedText,25602777cecc667d222cfeb509c62be1,12.,spring_2023_orientation_document.pdf,application/pdf,"['eng', 'kor']",6
UncategorizedText,352e15aaca7dcf8dec5093dacd9256df,13.,spring_2023_orientation_document.pdf,application/pdf,"['eng', 'kor']",6
NarrativeText,59a1e95c8541fea3c6961d049de09ac3,"For detailed registration information, please visit the Reqistrar’s website. If you prefer to try the upgraded version of the registration system (Banner 9), please watch the tutorial videos available online.",spring_2023_orientation_document.pdf,application/pdf,"['eng', 'kor']",6
NarrativeText,0481d1efccf235ec4915b96cdcad2deb,"We strongly recommend that new students start with only one class. e During the Fall and Spring semesters, all students can take a maximum 아 two courses and one seminar",spring_2023_orientation_document.pdf,application/pdf,"['eng', 'kor']",6
Title,c451c47784467e46cb1828b67795f0f6,(seven hours).,spring_2023_orientation_document.pdf,application/pdf,"['eng', 'kor']",6
ListItem,3f399f80da0394063f975bac97a36c87,All students can enroll in only one course (three hours) during the Summer semester.,spring_2023_orientation_document.pdf,application/pdf,"['eng', 'kor']",6
ListItem,7cf5bf038f05270fc9e25f3a4b0bd4ac,"Please note that Financial Aid and other programs may have specific credit hour requirements, 50 26 sure to follow up with their office directly for more information if you plan on applying.",spring_2023_orientation_document.pdf,application/pdf,"['eng', 'kor']",6
NarrativeText,e6b0e30848f9bc50868114af7275779c,"The best way for students to confirm that they have registered successfully for a course is from the ""Student Detail Schedule"" section of OSCAR. Follow the directions below: e Loginto OSCAR using your GT credentials via the Secured Access Login. Select Student Services & Financial Aid. Select Registration. Select Student Detail Schedule. Select the current term.",spring_2023_orientation_document.pdf,application/pdf,"['eng', 'kor']",6
NarrativeText,9c42e09b2a607d4ec1f4a41ffa6ec45c,"**This will show, in detail, the courses for which you have registered successfully, as well as all waitlisted courses (if any). **",spring_2023_orientation_document.pdf,application/pdf,"['eng', 'kor']",6
NarrativeText,b3fe37de675cef52cdc36aa72207ca6f,"Course materials will be available through Canvas sometime during the first week of classes. Canvas should be the first place you check once you have registered for a course. Unfortunately, we do not have control over when course materials will be available, nor do we have any additional information as to exactly when course materials will be available. e If you register for a course during the first week that classes begin, please note that it can take up to 24 hours before you can access your course materials. 1 after this period 아 time you still cannot access your course materials, please contact canvas@gatech.edu for Canvas access.",spring_2023_orientation_document.pdf,application/pdf,"['eng', 'kor']",6
NarrativeText,a6619cef8b0e6a024a1a5474aa69e265,"If you try to register for a course and receive 31 error message, please refer to the Reqistrar’s website for an explanation of what the message means.",spring_2023_orientation_document.pdf,application/pdf,"['eng', 'kor']",6
ListItem,a68e816408263bb524ef787bd2f416e6,If you receive the “OPEN,spring_2023_orientation_document.pdf,application/pdf,"['eng', 'kor']",6
ListItem,266570eff8daccf56fd6a80b3b810f66,"# WAITLISTED” error message, this means that you are trying to register for a course(s) that does not have any open seats. It may appear as though the course has seats available; however, the open seats are reserved for students on the wait list.",spring_2023_orientation_document.pdf,application/pdf,"['eng', 'kor']",6
ListItem,44f821aab95f064211f9f7a603824247,"If you receive the “COHORT RESTRICTION” error message, this is because you are attempting to enroll in a non",spring_2023_orientation_document.pdf,application/pdf,"['eng', 'kor']",6
ListItem,b8b071f34567e983cda6a89067a63a4d,foundational course but have not yet satisfied the foundational requirement. No exceptions will be made as far as overriding this error message unless you actually have satisfied the requirement.,spring_2023_orientation_document.pdf,application/pdf,"['eng', 'kor']",6
ListItem,fb1aad39afde4e30c15f5ddc67f20004,"If you receive the “CAMPUS RESTRICTION” or “MAJOR RESTRICTION” error message, this is because you are attempting to enroll in a course that is not part of the OMSCS program. As a reminder, most OMSCS courses will have 3 section of “O” (example: 001, 002, 003, etc.). Courses with the “OAN” section are for OMS Analytics students only, and courses with the “OCY” section are for OMS Cybersecurity students only",spring_2023_orientation_document.pdf,application/pdf,"['eng', 'kor']",6
ListItem,17cc72d16f7b0ee82999d7034371c6f9,OMSCS students are NOT permitted to enroll in these sections.,spring_2023_orientation_document.pdf,application/pdf,"['eng', 'kor']",6
Title,776366346ee0f39ddec96abb409ef8af,If A Course 15 CLOSED...,spring_2023_orientation_document.pdf,application/pdf,"['eng', 'kor']",6
NarrativeText,bfa941c9527c922ba6fc40523983ee7c,"Once the registration cap has been reached for a course, the course is full. In order to request a seat in a closed course, you must follow the instructions in SECTION G. WAITLISTING FOR A CLOSED COURSE. We DO NOT accept requests for overrides.",spring_2023_orientation_document.pdf,application/pdf,"['eng', 'kor']",6
NarrativeText,69110c05502b607c136efad2735f2be1,Please note that OMSCS Advising cannot register students for courses and/or add students to wait lists. Students must follow the procedures that have been outlined in this orientation document.,spring_2023_orientation_document.pdf,application/pdf,"['eng', 'kor']",6
NarrativeText,70f9ccf905907adaed871515bffa10ff,"Please DO NOT email professors to seek permission to enroll in and/or wait list for their course(s), as professors have no control over this. Again, students must follow the procedures that have been outlined in this orientation document.",spring_2023_orientation_document.pdf,application/pdf,"['eng', 'kor']",6
Title,518105f2e36b12c11d19ff181b0cc8c5,SECTION G. WAITLISTING FOR A CLOSED COURSE,spring_2023_orientation_document.pdf,application/pdf,"['eng', 'kor']",6
NarrativeText,0a8f4ce689a546428220196e953f7804,"Being waitlisted for a course is not the same 35 being registered for/enrolled in 8 course. Waitlisting allows students to add to a wait list for a course that is closed. Once students have waitlisted for a course section, they will receive a notification email if they are the next student on the wait list and a seat becomes available in that section. Waitlisted students are notified on a “first come, first served” basis.",spring_2023_orientation_document.pdf,application/pdf,"['eng', 'kor']",6
NarrativeText,fa47d600d89f84525001de8f0e5bbaf5,Click here to return to Table of Contents,spring_2023_orientation_document.pdf,application/pdf,"['eng', 'kor']",6
NarrativeText,f92324ae0097d5de3370b62e5c68712d,Things to know about waitlisting:,spring_2023_orientation_document.pdf,application/pdf,"['eng', 'kor']",7
NarrativeText,8153a5ca8cc0a83351c396e31ea48ba0,"70 add yourself to 8 wait list, you must choose “Add by CRN”. You cannot add yourself to the wait list by using “Look Up Classes”. Please follow all the instructions from the Registrar’s webpage on [nstructions for Waitlisting. If you prefer to try the upgraded system (Banner 9), please watch the online tutorial video. Be sure to check your wait list number (see the instructions below) in order to confirm that you are on the wait list. Waitlist notifications begin going out at a time predetermined by the Registrar’s Office during each registration period. Please be sure you are checking your GT email account on a daily basis so that you do not miss a wait list notification, if you receive one. Students only have 12 hours to register for the course once the notification has been sent. o This time frame is implemented by the Institute, and OMSCS Advising cannot extend the time frame or make accommodations if you miss the 12-hour window. For the Fall and Spring semesters: your total number of enrolled + waitlisted hours should never be more than seven hours (two courses and one seminar). If the wait list is full/closed when you are attempting to add yourself, please check back later. Students remove themselves from wait lists, and seats are 30060 10 courses (which removes students from the wait list), 50 there is a strong chance that a spot will become available at a later time.",spring_2023_orientation_document.pdf,application/pdf,"['eng', 'kor']",7
NarrativeText,c6b74fc20f3b509e5efa746ea87482bc,"Once you have added yourself to a wait list, there are two different reasons why you might be issued a wait list notification: (1) we have added seats to a course or (2) someone else drops the course and releases the seat. We can control when we add seats, but we cannot control when someone else drops. If you receive 8 wait list notification at midnight, it is because someone dropped the course at that time, and we cannot control that. Once you receive the wait list notification, you must add by CRN. Add by look up does NOT work for waitlisted courses. Please follow the step-by-step instructions included in the wait list notification email, and 66 sure to check that you successfully registered for the course after following the instructions. If you have your GT email forwarded to your personal email account, please be sure to check your GT account directly and often, as we have heard of many times when a wait list notification was not delivered or was routed to a spam folder. If you miss your wait list window, you will be dropped from the wait list, and the next person on the list will receive permission to enroll. Again, we have no control over this. If you miss your wait list notification window, your only option is to 200 yourself back to the wait list (if possible) and hope for the best. Your new position will be at the end of the list, so 66 sure to keep an eye on your email in case you receive another wait list notification.",spring_2023_orientation_document.pdf,application/pdf,"['eng', 'kor']",7
